Text,product,sentiment,Class
ماكينة عجباتني كاتحيد شعر من الجدر ومكاتخليش لاطراس,hair trimmer,Positive,1
 واعرة كاتشد الشارج لمدة طويلة وساهلة فالخدمة ديالها,hair trimmer,Positive,1
زوينة وصغيرة ومطيورة كيما كايقولو هههه، فلوسها حلال زوينة وعملية شكرا لكم,hair trimmer,Positive,1
 عاد جابوهاليا التوصيل كان فالمستوى والمنتوج وصلني كيما شفتو وعملي,hair trimmer,Positive,1
👌🏻 رهييييب حرفياً انصح فيه,hair trimmer,Positive,1
طلبت واحد قبل يومين وصلي اليوم تماما متل ماشفت بالإعلان ، يعطيكم العافية 😍,hair trimmer,Positive,1
يعطيكم العافية وصلني المنتج وجربته يعمل بشكل. جيد,hair trimmer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم,hair trimmer,Positive,1
شكرا بزاف راني فرحانة والله على هاد المنتج الله اجازيكم بخير,hair removal machine,Positive,1
شريت هاد المنتج الزوجة ديالي كانو رجليها فيهم الشعر صغير ملقاتش ليه الحل باش متلاش ينمو حتى خديت هاد المنتج والله ارحم ليكم الوالدين,hair removal machine,Positive,1
كان الشعر ديال البط ديالي دايما معدبني والحمد الله لقيت هاد المنتج عندكم وخديتو ودبا راني مهنية شكرا مرة أخرى,hair removal machine,Positive,1
مبقيتش كنمشي عند الكوافورة منين شريت هاد hair dryer,hair dryer,Positive,1
الله اعطيكم الصحة على التوصيل السريع كنت محتاجاه بسرعة شكرا مرة أخرى,hair dryer,Positive,1
شكرا بزاف وفر ليا بزاف ديال الوقت,hair dryer,Positive,1
شريت هاد المنتج لزوجة ديالي راه الشعر ديالها ولا غاية فالروعة,hair dryer,Positive,1
بصراحة احسن هدية شريت لي راسي وراجلي في هاد الشهر,hair trimmer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم صراحة التعامل زوين,hair trimmer,Positive,1
طلبت واحد البارح وصلني اليوم صراحة المنتج كيف ماشفت بالإعلان ، يعطيكم العافية 😍,hair trimmer,Positive,1
اشكركم على المصداقيه وعلى حسن التعامل,hair trimmer,Positive,1
كنت من حمل نشوف فراسي فالمرايا حتى شريت هاد المنتج شكرا بزاف,Body Slimming Belt,Positive,1
جربتو زوين بزاف معندي منقول,Body Slimming Belt,Positive,1
شكرا بزاف,Body Slimming Belt,Positive,1
الله اعطيكم الصحة منتج رائع,hair removal machine,Positive,1
معندي منقول الله ارحم ليكم الوالدين,hair removal machine,Positive,1
التوصيل كان سريع متوقعتوش الله اعطيكم الخير,hair removal machine,Positive,1
منتج زوين بزاف شكرا راه الصديقات ديولي بغاوه,hair removal machine,Positive,1
من نهار جربتو مدازت شهرين الشعر متلاش كينوض نهائهيا شكرا بزاف ليكم,hair removal machine,Positive,1
شكرا بزاف راني فرحانة والله على هاد المنتج الله اجازيكم بخير,hair removal machine,Positive,1
شريت هاد المنتج الزوجة ديالي كانو رجليها فيهم الشعر صغير ملقاتش ليه الحل باش متلاش ينمو حتى خديت هاد المنتج والله ارحم ليكم الوالدين,hair removal machine,Positive,1
كان الشعر ديال البط ديالي دايما معدبني والحمد الله لقيت هاد المنتج عندكم وخديتو ودبا راني مهنية شكرا مرة أخرى,hair removal machine,Positive,1
طلبت واحد قبل يوم وصلي اليوم تماما كيف ما شفت بالإعلان 😍,Mixer,Positive,1
احسن هدية تقدر تشريها في رمضان لي راسك ولي عزيز عليك,Mixer,Positive,1
صراحة كنت كنقول مغادي ينفعني في والو ولكن غير جربتو حسيت بالفرق,Mixer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم,Mixer,Positive,1
مزيونة وخا تمنيت لو كان الحجم ديالها كبر,Mixer,Positive,1
عصارة واعرة هناتني من لعصير بيدي,Mixer,Positive,1
رائعة كنصحكم بها لجميع المناسبات بحال رمضان,Mixer,Positive,1
عملية وسهلة في الاستعمال٠ شكرا,Mixer,Positive,1
طلبت واحد قبل يومين وصلي اليوم تماما متل ماشفت بالإعلان ، يعطيكم العافية,Mixer,Positive,1
يعطيكم العافية وصلني المنتج وجربته يعمل بشكل. جيد,Mixer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم,Mixer,Positive,1
انصح بالشراء مطابق للوصف و الثمن جد مناسب,Mixer,Positive,1
المنتج مطابق للوصف,Mixer,Positive,1
أكتر ما يعجبني هو التعامل الاحترافي و اللطيف لفريق هدا الموقع، و أيضا التوصيل السريع,Mixer,Positive,1
يعمل جيدا,Mixer,Positive,1
المنتج جربتو عجبني بزاف بحال اللي فالتصاور بالظبط,mini shaver,Positive,1
ماكنتش متوقع المنتج بهاد الجودة شكرا لكم بزاف,mini shaver,Positive,1
وصلني المنتج البارح جربتو صراحة من افضل المنتجات اللي جربت فحياتي,mini shaver,Positive,1
اليوما وصلني المنتج صراحة واعر لا من ناحية الشكل ولا الفعالية ديالو و الحاجة لي عجباتني كتر انو خفيف نقدر نهزو معايا فينما مشيت,mini shaver,Positive,1
شكرا مرة أخرى على هاد المنتج الله يعطيكم الخير راه غاية في الروعة,hair removal machine,Positive,1
منتج رائع الله ارحم ليكم الواليدين مرة أخرى وخصوصا التوصيل كان سريع,hair removal machine,Positive,1
منتج داوي على راسو كنصح بيه البنات خصوصا حيتاش عارفة قيمتو مزيان,hair removal machine,Positive,1
رجلية ولاو كيحمقو راجلي براسو سولني أشنو درتي رجليك حتى ولاو هك شكرا مرة اخرى,hair removal machine,Positive,1
صراحة زوينة نفعاتني بزاف، ديما العصير.,Mixer,Positive,1
شكرا بزاف، العصارة خدامة مزيان,Mixer,Positive,1
مكاين غاعصر هههه شكرا,Mixer,Positive,1
جربتها خدامة كتعصر مزيان,Mixer,Positive,1
تجربتي مع عصارة الفراكه المحمولة كانت ممتازة. سهلة الاستخدام وخفيفة الوزن، وكانت رفيقة رائعة خلال رحلتي,Mixer,Positive,1
لا يمكنني التحدث بكلمات كافية عن مدى إعجابي بعصارة الفواكه هده وبتقنيتها الفريدة,Mixer,Positive,1
لقد كنت أستخدم المنتج مند شهور و هو أفضل جهاز تشديب استخدمته على الاطلاق. إنه لطيف و دقيق، ولا يسبب أي تهييج. أوصي بشدة بهدا المنتج لأي شخص يريد جهار تشديب شخصي موثوق و عالي الجودة.,mini shaver,Positive,1
استخدمت الكثير من اجهزة التشديب الشخصية على مر السنين، لكن هدا المنتج هو إلى حد بعيد أفضل جهاز استخدمته على الاطلاق. إنه دقيق للغاية و سهل الاستخدام. أنا سعيد للغاية لأنني وجدت هذا المنتج!,mini shaver,Positive,1
إنه لطيف و دقيق و سهل الاستخدام. ابدو دائما متألقا، تماما كما لو كنت في صالون لتصفيف الشعر. ,mini shaver,Positive,1
أحسن حاجة جربت حتال ديا كتحيد ليا الزغب بزربة وكتخلي الجلدة رطبة و أهم حا مكتقصحش وليت ديما هازها معايا ف صاكي,mini shaver,Positive,1
لا واعرة الصراحة الشعر كيطير بتدويزة وحدة وماكتجرح ما والو ماشي بحال الموس وحتا الشارج ديالها كيشد ليا مدة طويلة,mini shaver,Positive,1
وليت كنحسن ف 3 دقايق بلا ماء بلا والو بحكم العمل ديالي خاص نكون ديما محسن نفعاتني بزاف تبارك الله عليكم,mini shaver,Positive,1
السلام عليكم ورحمة الله وبركاته لقد توصلت بمنتوجكم حقا أعجبني، وما زاد اعجابي طريقة استقبالكم للمكالمات وكذا الخدمة السريعة شكرا.,mini shaver,Positive,1
المنتج جيد,mini shaver,Positive,1
توصلت بالمنتوج ديالكم بصراحة عجبني بزاف... نتمنى نتقدى من عندكم مرة أخرى شي منتوج أخر... شكرا لكم,mini shaver,Positive,1
هي الة عملية، توفر الوقت و الجهد. ذات جودة عالية و سهلة الاستعمال.,mini shaver,Positive,1
منتوج رائع و ممتاز اشتريت ٢ جربوه ولن تندموا,mini shaver,Positive,1
شكرا لكم على حدة المنتج الرائع صراحتا جودة ممتازة,headphones,Positive,1
شكرا عاد وصلوني ليوما مزيونين، انا غادي ندوز عندكم كوموند اخرا لخطيبي,headphones,Positive,1
صراحة واعرين بزاف ايتوب عليكم,headphones,Positive,1
خديت زوج منهم وعرين وحتى شارج كيشدوه مزيان شكرا لكم,headphones,Positive,1
خديت هاد المكينة لمناطق الحساسة صراحة أحسن آلة للحلاقة هي هادي,hair trimmer,Positive,1
أخيرا لقيت المكينة لي هناتني من الرازوار كتحلق بيها الوجه والنيف والمناطق الحساسة كل شفرة كنحلق بيها بلاصة ,hair trimmer,Positive,1
بحال هاد الناس هوما لي كيخليوك تشري من الأنترنيت ، تعامل فالمستوى الله يسر ليكوم,hair trimmer,Positive,1
هادي هيا تاني مرة أنشري من عند هاد الناس التعامل ديالهوم زوين و حتا الضمانات عندهم,hair trimmer,Positive,1
خطيرة هاد الماكينة حبيتها 😍😍,hair removal machine,Positive,1
كنت كنعاني مع لاسيغ هادي رحمة ومكتزرقش عيييت منقلب على اوريجينال ديالها يله لقيتها هنا شكرا بزاف,hair removal machine,Positive,1
انا خديتها اختي اه مكديرش بحال لاسيغ وزغب مكاينوضش دغيا,hair removal machine,Positive,1
 صراحة زوينة كنديها معايا لخدمة ساهلة اي زغبة كتبان ليا كنحيدها ههه,hair removal machine,Positive,1
صراحة هادي حسن من طوندوز ولا لموس,hair removal machine,Positive,1
راني جربتها خدماتلي مزيان امكتخليش الحمورية,hair removal machine,Positive,1
لخدمة ديالها مزيانة,hair removal machine,Positive,1
شكرا على التوصيل,hair removal machine,Positive,1
شكرا,hair removal machine,Positive,1
عجباتني دغيا كتحيد شعر فلبلاصة,hair removal machine,Positive,1
من مور ما استعملت هاد لباك ديال كابيلا لي تلقاني ولا تيسولني اش درتي لشعرك حيث راه فوقت قصير خلا شعري قوي بزاف والخلفة شعر بدات تتوض من جديد، وتا ليخلي واحد لمعان خطيير وبلا ماندويو على الربحة الزوينة لي تتيخلي فالشعر.,Hair tonic,Positive,1
صراحة هاد لباك ديال كابيلا استعملتو ديا شهر وصراحة النتيجة بدات تنبان ، شعري مابقاش تيطيح ليا كيف كان بلعكس ولا قوي اكثر ، وولا شعري ديما فيه ريحة زوينة، وحتا من صحباتي لي جربوه تصدمو بشعرهم كيفاش ولا قوي...,Hair tonic,Positive,1
انا راه مع الفولار وليت تنعاني دبصح مع شعري حيث ديما تبطيح ليا جربت هاد لباك ديال كابيلا وداومت عليه دازت تقريبا شهر تصدمت مشعري بعدا حيد ليا القشرة نهاااتيا وولا شعري قوي ومابقاش كيطيح ليا كيف كان صراحة نصحكم به وداومو عليه.,Hair tonic,Positive,1
كنت كنشوف صاحبتي ديما يديها بلا شعر وكنسولها كتقول لي انا مكا دیرا تا مشيت معها الدار وبان ليا عندها معا المكياج قلبت عليه فالانستقرام و خديتو راه بزاف,hair removal ,Positive,1
كنت كنلقا مشكل فشعر تحت البطان حيث لسيغ كيدير ليا الحساسية. لحمد لله هذا هناني منو ومكينبت علي شهرين شكرا ليكم,hair removal ,Positive,1
الصراحة ف الأول كنت خايف من الفعالية ديال هذه السماعات، ولكنها فاجأتني بشكل إيجابي. البطارية تدوم طويلاً، أحسن حاجة ف الجرا و لاصال.,airpods,Positive,1
توصلت بيهم فقل من 48 ساعة ، الساعة والسماعة مزيانين والثمن تا هوا ...شكرا,airpods,Positive,1
السلام جاو فوقيتة مناسبة ...هدية لولدي فرح بيهم بزاف 👍,airpods,Positive,1
منتوجين كما في الوصف والي تعجبت منوا سرعة التوصيل,airpods,Positive,1
اول سماعة اتركها في ادني لمدة طويلة مريحة و صوتها فخم ,airpods,Positive,1
سماعة فخمة ما شاء الله  ,airpods,Positive,1
الماكينة زوينة و ساهلة هناتني من تمارة,vegetables-chopper,Positive,1
وصلتني لاكوموند في يومين سيرفيس زوين شكراا,vegetables-chopper,Positive,1
شكرا على سرهة التوصيل زوينة,vegetables-chopper,Positive,1
الله شحال غزالة حسن بزاف من الحكاكة كتسهل الخدمة وكتقتاصد فالوقت,vegetables-chopper,Positive,1
كفما شفتها كيفما وصلتني وخدما نقيا شكرا بزاف,Mixer,Positive,1
جربتها خفيفة وكتعصر دغيا ,Mixer,Positive,1
صوتها جميل وعازل للضوضاء,Mixer,Positive,1
اشتريت هذا الخلاط من فيليبس وقد حاز على اعجاب جميع افراد الاسرة لسهوله استعماله وقوة محركه وميزاته الاخرى التي تختلف عن باقي الخلاطات المعتادة فهو يحتوي على عدة برامج لخفق المكسرات والثلج والعصائر والخضار وبرنامج لخفق الكيك كل على حده ، يمكننا اختيار البرنامج اللازم من الشاشة بعد وضع المواد المراد خفقها داخل الابريق المتين ذو السعة الواسعه وهناك ايضا امكانيه لتصفية العصائر اذا اردنا الحصول على عصير صافي خال من اللب يمكننا قلب الابريق بعد العصر للتصفيه والحصول على عصير صافي ويمكن طبعا استعمال الابريق بدون المصفاة حسب نوع العصير المحضر … انصح الجميع بهذا الخلاط لقد سهل علي الكثير من اعمال المطبخ .. شكرا فيليبس ,Mixer,Positive,1
حصلت على المنتج اكتر من شهر وانا سعيدة جدا بالخلاط الخلاط نوعية عالية جدا وقوي جدا جدا لطحن الثلج وعمل الكوكتيل والعصائر ووجود الحنفية جعل المنتج أسهل خاصة مع وجود الاطفال لصب العصير مباشرة من الخلاط ، المنتج شكله جميل ومميز وممتاز لعمل كل أنواع العصير والكوكتيلات,Mixer,Positive,1
حصلت على هذا الخلاط من شهر، استخدمه تقريبا يوم بعد يوم وخاصة ان اولادي يفضلون شرب العصائر الطبيعية، له مميزات اقوى من اي خلاط استخدمته من قبل ولم اندم على شرائه,Mixer,Positive,1
اشتريت هذا المنتج منذ شهر و جدا يعيدة بهذه التجربة لانه فعلا منتج رائع و سهل,Mixer,Positive,1
لي خدا هادي عمرو يفكر يشري مولينيكس الجودة و الإتقان,Mixer,Positive,1
هناتني من تمارا ديال طياب صراحة زوينة بزف او سهلا ف غسيل,Heater,Positive,1
شكرا بزاف صراحة نفعني,Heater,Positive,1
عواشر مبروك صراحة هاد Heater زوين بزف,Heater,Positive,1
الله يعطيكم الصحة هاد العصارة هناتني من العصير فرمضان سريعة جدا,Mixer,Positive,1
هاذي 11 يوم ونا كنخدم بيهم او باقي فيهم شارج شكرا جزيلا,airpods,Positive,1
كل ليلة كندير الرقية الشرعية او كنعس عليها فلوسها حلال,airpods,Positive,1
صراحة معندي منقول تبارك الله عليكم التوصيل فالوقت و الجودة مزيانة,airpods,Positive,1
ماعندي منقول تبارك الله عليكم هميزة والجودة مزيانة مقارنة مع الثمن ,airpods,Positive,1
انا كيعجبني نسمع للموسيقى و جربت بزاف ديال السماعات و صراحة هادو احسن سماعات جربت فحياتي,airpods,Positive,1
دوزت بيهم الصيف كامل و مزال مخسروش صراحة صدموني، دبا كومونديت لختي بحالهم,airpods,Positive,1
الصوت واضح و مكيضروش فالودنين وحتى الشكل زوين كاع صحاباتي قالو ليا منين شريتيهم شكرا ليكم بزاااف,airpods,Positive,1
صراحة تهنيت من ليزيات ملي شريت هادو الصوت فيهم مزيان حتا فاش تاندوي ابيل كيسمعوني مزيان شكرا لكم,airpods,Positive,1
كنت كنتسنا ايخسرو دغيا حيت رخاص ساعا صدموني، انا يالاه شريت لراجلي بحالهم، تبارك الله عليكم,airpods,Positive,1
معندي منقول تبارك الله عليكم كملو هكا,airpods,Positive,1
 سيرفيس واعر وكتعطيو الوقت للكليان صراحة... شكرا لكم مرة أخرى,airpods,Positive,1
انا وصلاتني، صراحة واعرة,Mixer,Positive,1
انا خديتها زوينة بزاف مغاتندموش عليها,Chopper machine,Positive,1
طوب صراحة خديت جوج وحدة ليا و تانيا لماما صدقات واعرة,Chopper machine,Positive,1
والله حتى واعر انا شريتو من عندهم و عجبني واعر والله,Chopper machine,Positive,1
سلام عليكم منتوج ممتاز يفي بالغرض شكرا,Chopper machine,Positive,1
شريتو من لعام لي فات و مزال خدام ليا مزيان ودبا كومونديت لجارتنا بحالو,Chopper machine,Positive,1
تبارك الله عليكم منتج واااعر كنصحكم شتريوه,Chopper machine,Positive,1
هاهوا يالاه وصلني دبا، الله يعطيكم الصحة، لا من ناحية  الجودة ولا من ناحية التوصيل,Chopper machine,Positive,1
ماشاء الله جربتو زوين كيما الفيديو,Chopper machine,Positive,1
صراحة لكاليتي زوينة وحتا سيرفيس مزيان شكرا بزاف,Chopper machine,Positive,1
صراحة كيفما طلبتو وصلني,Chopper machine,Positive,1
شكرا ليكوم عاد وصلاتني كوموند دبا,Chopper machine,Positive,1
تستاهل الصراحة,Chopper machine,Positive,1
زوينة بزاف و التوصيل فالوقت شكرا,Chopper machine,Positive,1
الله يعطيكم الصحة,Chopper machine,Positive,1
شكرا المغرب الملكي,Chopper machine,Positive,1
خلاط واعر صراحة ياله خديتو خدام مزيان تبارك الله عليكم,Mixer,Positive,1
كا يعصر مزيان و ختاصر عليا وقت بزااف كنصحكم به,Mixer,Positive,1
خديتو زوين بزاف و توصلت به في أقل من 48 ساعة شكرا ناس كيتعاملو مزيان,Heater,Positive,1
كنوجد بيه الماكلة لولدي صغير مكاتكمل حتى دقيقة كولشي كايوجد,Heater,Positive,1
منتوج رائع ، وكايختاصر الوقت من بين أحسن المنتوجات عندكم.... شكرا لكم,Heater,Positive,1
روعة ما بقيتش كانستغنى عليه فالمطبخ ديالي و التوصيل مجااانييي,Heater,Positive,1
frying pan زوينة و عملية تقدر تستعملها فأي وقت ويكفي موقد واحد باش طيب الوجبة ديالك شكرا لكم على هاد المنتج الأكثر من راائع,frying pan,Positive,1
أول مرة كندير حلوة في البيت وطلعت روعة بفضل هالآلة صراحة واعرة,frying pan,Positive,1
هاد المنتوج كيحرق بزاف و ماكيحيدشي الشعر الصغير، حتى التمن غالي مقارنة مع الجودة ديالو,hair removal machine,Negative,1
كيتعطلو ب التوصيل دهاد المنتوج، طلبتو و ماتوصلت بيه تادازت 2 سيمانات,Mixer,Negative,1
من أسوأ المنتوجات لي جربت غير فعالة بالمرة,hair removal machine,Negative,1
منتوج فاشل لا علاقة بالثمن دغيا تهرس,Mixer,Negative,1
هاد المنتج ما كانصحش بيه حيت ما كاينش rapport qualité prix الثمن غالي مقارنة مع الكاليطي ديال داك البلاستيك,Mixer,Negative,1
 هاد البرودوي لي شراه غادي غير يضيع فلوسو حيتاش ماكاينش فرق بينو و بين الغازواغ زائد ماكايحيدش الزغبة من الجذر دونك ما كانصحش بيه,hair removal machine,Negative,1
 هد المنتوج عيان مقارنة بتمنو الغالي. وزائد مكيحيدش الشعر من الجدر بلا مضيعو فلوسكم,hair removal machine,Negative,1
مكتعصرش مزيان وكتبغي تستهدم ليمونة صغيرة ايوا والليمون الكبير كيف غادي نعصروه، ومرة مرة كدير واحد الصوت بحالا غتخسر,Mixer,Negative,1
البنات مكنصحكمش بيه راه مكيحيدش زغب مزيان و كيقصح,hair removal machine,Negative,1
شريتها و جابوها ليا مهرسة,Mixer,Negative,1
اش هاد المنتج ؟؟،قولبتوني الله ياخد فيكم الحق,Mixer,Negative,1
هاد المنتج خايب ، ماشي كيف الصور و الوصف,hair removal machine,Negative,1
يوماين باش وصلني جواب ، و بعد ما طلبت المنتج ما وصلش فالوقت المحدد,Mixer,Negative,1
ها د المنتج خديتو على أساس الكثافة ديال الشعر كتنقص مع الإستعمال ديالو ب 80% و بالضبط من بعد 6 أو 7 ديال الحصص. انا استعملتو مدة عام اكتر من 10 ديال المرات و حتى حاجة ما تبدلات من غير أن الزغبات رقاقو شوية و لكن مازالين كاينين. إلى يومنا هاذا مازالا كنستعمل إبيلاطور العادي,hair removal machine,Negative,1
 خديت هاد المنتج على أساس غدي يوصلني من مور 5 أيام، دازت 8 أيام و ما وصلني والو… تاندخل ل سيت نقلب على شي نمرة ديال خدمة العملاء و لكن ما كاينة حتى نمرة… تنعمر واحد الفوغموليغ ديال ريكلاماسيون تيوصلني إيميل تيقولو لي باللي حلو ليتيج فاش يبحتو فين وصل المنتوج و أنا دابا بغيت غير يرجعو لي فلوسي، ما بقيتش باغا المنتج و اكن ما كاين معامن تهدر!!!,Mixer,Negative,1
هاد المنتوج غير خسران ديال الفلوس و صافي، مكينقيش بمرة و كيخلي الجدورا باينين بزاف و كيولي الزغب كينوض دغيا و بفورما كفس و حرش ، آخر مرا خديتو دغيا خسر ليا,hair removal machine,Negative,1
ما كانصح حتا واحد اشري هاد المنتوج، حيت النتيجة ناقصة بزاف، ؤ دغيا كيخسر، لكاليتي والو و حتا العصير ليمون عامر بطروفة غلاض ماكيخرجش خفيف,Mixer,Negative,1
