commentaire,sentiment
بكيت اقسم بالله بكيت على حياتي لي ضيعت فالخوف و السيطرة و أنا عندي دبا 24 عام عمري درت مكياج ولا لبست ستيلي ولا كملت قرايتي ولا خدمت ولا نشيطة بحال گراناتي ولا تعرفت على شي شخص اعمر حياتي ولا صحابات الله يفرج عليا وعلى الجميع,triste
بالصدفة لقيتك تتهدري عليا💔💔💔 فقدان الشغف,triste
😢😢😢,triste
باشما كيكبر الإنسان العالم من حوله  كيصغار وكيولي يبان له تافه .. شي حويجات كانو البارح كيفرحوه اليوم ما بقاتش عندهم حتى معنى .. هادي علامات النضج، الحل هو أن الإنسان يقلب على سعادته والمتعة دياله فحوايج جداد من غير لي مولف يديرهم .. حويجات لي غادي ينفعوه ويبقاو له ويبعد على التفاهات,triste
اقسم بالله انا تنشقى وتسمع ليك فلحظة نزلو الدموع مقداش نحبسهم فيديو جا صدفة قلبي والله تا مهرس,triste
"الشغف مشا والله رغم انني كنت كلي طاقة و إيجابية و اجتماعية دبا مبقيتش كنبغي نجمع  ولا نمشي عند العائلة و لكن هادشي كيجي من تراكمات و ضغوطات من الصغر و زيد عليها الناس لقتلفاي معاهم في الحياة و مسؤوليات ماشي ديالك كتهزيهم و مكتعيقي حتى كيفوت الفوا 
الحمد لله على كل حال",triste
بالضبط هذا هو حالي للاسف 😔,triste
اخيب حجى هي يجيك فقدان الشغف حتى فلقريا و خى  يلاه غندخل ل 20 سنة 💔,triste
"Rita bekkitini 😢 7atiti sob3ek 3la noqta li darrani soubhannallah. Kent fdarna b7al lewrida, daba fqadt chaghaf wellat 7yati to do list. Ma bqitch mhaliya frassi😢 wellit berda.",triste
حطيتي يديك على الجرح اصحبتي😢💔,triste
حبيبة ماماك كبيدتك كلامها صحيح أنا شابة وكنقول مانبغيش نكبر نندم على حاجة مادرتهاش فيما يرضي الله فشبابي بغيت نستغل شبابي فيما يرضي الله وكلامك صحيح وخير خلق الله قال استغلو خمسا قبل خمس صحتك قبل مرضك وشبابك قبل هرمك وغناك قبل فقرك وحياتك قبل موتك وفراغك قبل شغلك وطبعا فيما يرضي الله وكنضل نقول لراجلي نستغلو شبابنا قبل ما نكبرو 😅,triste
حتا انا كنعاني من هادشي كنت كنسحاب عندي اكتئاب فتالي كتشفت عندي تكيس مبيض هوا لمسببلي ثعب مفرط 😢,triste
Ana man matut liya mama lah yarhmiha mb9aytch kan7as barsi,triste
كلامك كولو صحيح والله هادشي كامل فيا 💔,triste
😭😭😭😭😭😭كنتفرج وكنبكي اودي الله اصاوب وصافي,triste
واخييييراااا لقيت لكلمة معبرة على لحالة لي أنا فيها هوا فقدان شغف 🥹😣,triste
يمكن اول مغربية كنلقاها كتهضر بعفوية فهاذ الموضوع ، عانيت من فقدان الشغف و مازال لانه لي شافني كيقول ليا مابقيتش كيفما انا رغم أنني مازال صغيرة ، و ماكنتش عارفة معنى داك الاحساس حتى فهمت نفسي انه المرحلة لي وصلت ليها بسبب الطاقات اللي ضيعت بزااف على قبل الناس و العائلة ، رغم أنني انسانة إيجابية و حيوية و عندي هوايات ، كيفاش هادشي كيموت فواحد لوقت لي كتبغي نفسك تزيد بيك حتى كتخونك ... بصح راه كتكون عندكم طاقة مجهدة فواحد لوقت لكن حاولو توجهوا ديك طاقة ديالكم فالاتجاه الصح و عتامدوا نظرية السلحفاة  ف روتينكم ❤,triste
ناري عينيا غرغرو على ماماك 😢ياربي تسمح ليا من ماما يارب 💔ياربي تعطيها صحيحتها,triste
أول مرة كنتعرف اكنتفرج فيك وقفت الفيديو فالنص ابقيت كنبكي والله أختي بكيييييت وباقا عيني منشفو جاتني لحظة إدراك لقيت راسي وصلت فعمري 36سنة أم لخمسة لولاد ارجعت الستنتا دحياتي اللور. وااالو حسيت عشت حياتي للناس ماشي البراني ولكن المقربين ادابا كنحس بلي حتى واحد ميستاهل  هادي تقريبا سادة على الكل  حيت اسنزفت بما فيه الكفاية الأغلبية باغي يستغلك يستغل الصدق الطيبة السذاجة ديالك وحتى واحد ميوريك طريق وااالو والله أخواتاتي إلا مبغيتي راسك حتى واحد ميبغيك أنت أولا قبل أي حاجة اهادشي اللي وصلت له امقتانعة به وربي مول النية كيوقف معاه والحمد لله ونعم بالله ولكن باقي متشافيتش كل مرة نتذكر كي كنت قبل كنبكي كنحاول نكون قوية ولكن باقة مجروحة وكنتمى أي واحد قرا تعليقي يدعي معايا ربي اشافيني ايوفقني فحياتي الجديدة  يارب ❤❤❤,triste
Bghit hi nkteb chi haja u kanhess brasi bhel lwil u ma3arfach rasi mali u hta haja ma3ejbani u mala9ya ratti fwelu u m3a hta hed ghada nhma9😭😭😭😭,triste
انا فقدتو كنقول معليش كلشي عادي حتا انا فقدتو وبغيت نرجعو 😢,triste
نفس الشيء واقع لي لدرجة سوتنيت الماستر ديالي لي كنت كنتسناه وكان حلم ماحسيتش كاع بالفرحة ديالو أما يلا بغيت نخرج ماكنحملش نلبس ونتقاد ولا نخرج غير الدار والروتين المشكل الكبير راه ما مكتأبة ما مقلقة ما حزينة عادية غير مافيا لي يديير شي حاجة,triste
كتهدري و لقيت عندي نف الافكار ديال ما نلبس حتى نصبغ شعري حتى انا مين كنرد شعري فونصي كنديبريما سبحان الله فقدان الشغف دواه هو تبعد ناس المسمومين من حياتك ولا لي كيحبسوك علىةلحوايج لكيعجبوك هما لكيخلويك تكره الحياة وطفى دنيا ف عينيك,triste
انا حرفيا 😢,triste
اه والله ايلا الناس كلهم حاسين بفقدان الشغف فهاد السنوات الأخيرة اذا شي حاجة واقعة فالعالم وناس في غفلة معيقينش بالقالب,triste
جزاك الله خيرا اختي الحبيبة، فضلا وليست امراً دعوي معيا بالفرج 💔 دعوة الغريب مستجابة 🙏🏻,triste
كان طالع ليا الدم والله وكارها راسي دخلت لليوتيب نتسنت لشي حاجة نستافذ منها وطلعتي ليا نتي كتهدري وانا كنبكي وكنطلب من الله يحيي فيا الشغف وينور ليا البصيرة ديالي واللي قرا تعليقي يدعي معايا بتيسير الامور ديال ولكم بالمثل,triste
انا بكثرت ما فقدت الشغف ماقدرتش نكتب حتا هاد التعليق ونعبر على شنو كنحس😢😢😢,triste
انا اول مرة نسمع ليك تبركالله عليك وشكرآ حبيبتي على هاد الفيديو بحال كتهضري عليا وزيدي عليها الثقة الزايدة خارجة عليا دعيو معايا 🤲ولدي السنة الاولى باك بحال انا ميتة حية الجهد مبقاش مني بغيتو ملقيتش حتى 1% 😢😭,triste
أنا حكمني فقدان الشغف حسبتو اكتئاب 💔,triste
أقسم بالله إيلا هاد شهور دخلت كانقلب على فيديو بهاد العنوان ومالقيتش ياختي كيما قلتي كولشي بحالا حافضينو وديك الهضرة كاتدخل من وذن وتخرج من اخرى.. الله يجازيك بخير على كلمة قلتيها ماغاديش تكون هادي المرة الوحيدة لي كانسمع فيها هاد الفيديو,triste
وي تيجي من تراكمات وتتديري كثر من الجهد وماتتلقايش المقابل حتى وليت تندير شي حاجة لوجه الله ماتنتسنى والو وحتى نقص فيتامين د تيدير اكتئاب الى كان ناقص بزاف,triste
الكلام ديالك قاسني والله 😢❤,triste
التراكمات أختي  اليوم وغدا هاد الشهر والشهر الجاي  وهاد العام والعام الجاي  وانت كاديري كل ما  فجهدك  لأجل هذا وهداك وهاديك ... وكتنساي راسك  ديك الساعة كتفقدي الشغف,triste
كنحس براسي طفيييييت 😢😢😢😢,triste
اه أليام فاش فكرتيني أغيثة فخبارك كنت دزت من هاد المرحلة وماعافاش أشنو هيا يامات القراية فليسي كنت كانعس بحوايج المدرسة والشارح فالتيلي والتيلي كايبقا مشعول حتى كايطفا وهادشي كايخليني فايقا ديما معطلة ماكاين لا نتقاد لا نغسل وجهي كانلوح عليا جلابة ونخرج والعمش فعينيا البنات فليسي هاللبس هالماكياج الروايح هادشي خلاني مانجحش فقرايني وخلاني ماتكونش عندي الثقة فراسي ديما منعازلة ديك الساعة حتى الماكلة تانگول لاش غادي ناكل مانستاهلش ناكل أقسم بالله واحد الفترة صعيبة أوبزاااف الأمهات ردو البال معا بناتكوم راه حوايج بساط ماكايبانوش ولاكن كايأثرو على شخصيتك,triste
"بقيت كنسمع  كنسمع حتى عمرو عيني بالدموع انا حااااليا فااااااقدة الشغف كلشي عندي موجود ومتوفر ولكن حتى حاجة مكتفرحني بالعكس كلشي كيتعبني وكيقلقني 
يمكن تعب الاولاد والغربة هما سبابي باغا ندير بزززززاااااف د الخاجات ومعرفاش منين نبدا وفالتالي كندير مناقص من كلشي 
الله يكون معايا ومع ماع الامهات والله يعاونا على وليداتنا",triste
نفس المشكل عندي هادي 4 سنين من نهار مات بابا و كنت يالله تجوجت بحالا طفيت بصح مبقيت باغا ندير والو حتا خدمتي خرجت منها ، منين ولدت قلت يمكن شي حاجا تبدل فحياتي ساعا والو كنحس راسي عيانة بزاف,triste
تخيلو البنات فقدان الشغف وتكوني مزوجة بنرجسي وكبر منك ب 20 عام والله القسم حسيت براسي كاندفن روحي وانا حية والحمد لله طلقت وانا عندي بنية ورجعت حياتي كيفما كنت كانلبس كيف بغيت وندير المكياج ونخرج نسارا انا وبنتي الله رجعت حييت من جديد ❤,triste
😭😭😭😭😭😭😔😔😔😔😔😔😔,triste
جاتني البكية بحال الي كتهدري عليا ولكين مقدرتش نبدل راسي😢,triste
ملي بدأ ونا نبكي خفت هكا راح يصرالي خاوتي راني قريب نهبل 🥺🥺🥺,triste
تفرجت فيه فرمضان او بكيث بزاااف او ها أنا عوثاني نتفرج 🥹💔,triste
😢,triste
داز فتلفازة كانت عندي 10 سنين  وتفرجت ليه وعجبني  ودبا عندي 18 سنة وكنعودو ف2026😢😢,triste
12/04/2026  bkani hd lfilm 😢m3mri fkrt ntfrj fih ta tfrjt obkani,triste
غانعاود نتفرج فيه وغايعاود يبكيني وهي غادة، هاد الفيلم الوحيد لي عاودتو شحال من مرة و مكنملوش😭💔,triste
😢 😭😭😭ياربي لا تعلق قلبي إلا بك ..  كمية الحزن فهذا الفيلم غير معقولة شهر 4 / 2026,triste
فيلم مؤتر بزااااف 💔,triste
1:26:23 😔😔,triste
30/3/2026❤😢,triste
2030😢,triste
وااا على فيلم ميمكنش والله 😢😢😢😢,triste
💔💔💔,triste
انا اكتر وحدة بقات فيا هي الام 😭😭😭 الام اكبر ضحية لي ربات وكبرات وفلخر تسطى بنتها 😢😢😢😢,triste
3che tm3😢❤,triste
"أكتر فيلم مأتر كانتخيلو دابا حاقيقي😢😢😢😮
😢😢😢😢😢😢كايبكث",triste
😢😢😢😢😢,triste
"23/3/2026
02:5💔🥺
اكتر فيلم اتر فيا",triste
😢😢,triste
2027😮😢,triste
كأنها قصتي💔,triste
😢😢😢😢,triste
had film makanmalch mano wakha n3awdo 1000 mara😥❤‍🩹,triste
💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔,triste
💔💔💔💔💔,triste
شكون😢,triste
"😢😢3 fois,,",triste
من جزائر نحب هذا فيلم ديما نبكي كي نتفرجوا😢,triste
Ana b9at fia hia Walaqin walidiha kter 😢😢😢2026,triste
"ماذا لو كان للقدر حديث أخرا 💔
2026/2/17 ❤",triste
هاد أنا تفرجت فيه 2026  قلولي بلي هذا لفيلم يشبه حكايتي بصّح أنا جزائرية و هو مغريبي دخل بوليس 😔💔,triste
2026❤😢,triste
هاد الفلم تفرجت فيه فاش كنت صغيرة وفكل مرة عاودت تفرجت فيه كنبكي وكنتأثر بحالا شفتو اول مرة,triste
😢😢😢😢,triste
انا لاش كنبكي,triste
2026❤ o nafse ihasas😢,triste
الحب خايب نهاد درجة 💔,triste
💔,triste
5/2/2026😢,triste
قصتو مش للدرجة هذيك تبكي لخطراكش الحب من جيهة وحدة,triste
شكون رجع يتفرج في 2026 😢😢😢,triste
2026 💔,triste
💔💔💔💔💔💔,triste
🫡😢🥹🥹😭 واعر انا من 2026,triste
Daba 2026 we ba9a kantfrje fih kanbeki😢behala awle mera netferje fihe 💔😥,triste
شحال بكيت عينيا تنفخو😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,triste
منحوسة مسكينة 😭😭😭😭😭😭😭😭,triste
مسكينة سعدية غاضتني 😔 صعيب الواحد يعيش فالاوهام و يبني بزاااف آماااال و فاللخر يتصدم بالواقع، فيلم هايل 🇩🇿🇲🇦,triste
😢😢😢😢😢,triste
2026🥺😔,triste
"26/01/2026
A💔",triste
وفي الاخير غادي نولي بحال سعدية وبنات ختي غادي يقولو خالتي حماقت حين مداتش لي بغات 💔😞,triste
24/1/2026 😢,triste
😭😭😭😭😭,triste
Ana😢,triste
كون غير مشات عندو قالتها ليه كعما يوقع ليها هادشي🥺2026,triste
😢,triste
21-1-2026😢❤,triste
هادي تاني مرة كانتفرج فيه و فكل مرة كانبكي,triste
2026 😢,triste
💔💔,triste
Meskina 🥺…..,triste
انا تبعت هذا الفلم كي كنت صغيرة ومزالني حتى اليوم كلما نشوفو نبكي بزاف 😢😢😢،من الجزائر ونحب هذا الفلم وبزاف افلام تاع المغرب,triste
انا من 2018💔,triste
Walah hta sma3tha fi 2017 wala 2018 o db 2023 tfaartha o rja3t n9alab 3liha atrat fiya bazaffff 😪😪😪😪😪😪😪,triste
قصص مألوفة قبل ماتهضر كنعرفك شنو غتگول,triste
قصة واعرة  مشي اول مرة غنسمعها. منك قصة كتخليلك امال فالحياة ....وكنقول واحد النهار يرجعلي امال ونتجمع بولدي ونعنقو حيت توحشتو بزاف انا كنسمعلك وكنتفكرو وكنبكي وكلا دمعا كتهبط جمرة علا قلبي,triste
جيت  نطيب  بيها نعاسي  ساعة  طاب ليا قلبي  بيها 😭,triste
تعرف أن هذا القصة الرائع أنها مثل حياة  بلا قيام من النهار لي مات خويا حتى لهد النهار,triste
رجع تنزل 😩😩😩😩,triste
😥😥😥😥😥😥,triste
💔💔💔❤❤❤,triste
😓😓ahssn masm3t tbarklah elik o sfe o rakq rajl o nas lah yrhmha o ywsa3 eliha yarbii,triste
قصة حزينة بزاف,triste
😭😭😭😭😭😭😭,triste
Ollah ila bkit😭llah kayn m3aak akhoya layf9k tatchof wlad wladk💘,triste
bkite hmdulah hmdulah hdaya walidiya lah ikhalihom liya yarbi😭😭😭😭😭😭😭😭😭😭😭😭😭,triste
🥺😭,triste
Beketini a khoya 😭😭,triste
Natmana nchouf 9isa dialak f chi film 2020 w Ana mat2akad ghadi tanja7,triste
Hata ana makan3ach 3andi hkayti twila tabonaw 3adi 3afakom ntoma amali fadanya🙏matkhybonich,triste
🤔🙃😢😢🤔🖐💪💪✊✊👏👏👏☝☝☝,triste
Bkatni 😢😢😢,triste
9issa zwiina ohazina 😢😢,triste
كنسمع وفنفس لوقت دموعي كيسيلو🥺😔🖤,triste
😥😩😩😩😭😭 بكيتيني فهاد ليل.02:30,triste
بكيتيني والله ربي يحسن العوان😔,triste
Khoya 9isa zwina walakin ila b9iti katktr mn l ichhar nas matb9ach tsm3 lik nasiha lilah,triste
😭😭😭😭 had 9isa katbaki khoya 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭hasit bik,triste
سميت هاد لحن ؟؟؟,triste
السلام وعليكم في الحقيقية هاذ القصة بكاتني بزاف كنطلب من هاد سيد بغيت نهضر معاه بغيت نسول فهاد سيد لي يعرف نمرة ديالو يرسلهالي,triste
Danya wa3ra rabi ybrik o 😢😢😢😢😢😢 khtabrk,triste
mat2atartch bzf jatny l9issa khayallia bzzf,triste
اخويا القصص ديالك كاملين كايبكيوني و الله ما مانقدر نحبس دموعي عندك طريقة واعرة في الحكي تبارك الله عليك و الله,triste
Zwina Bazaf. Nihayaa hazina😢,triste
برافو عليك قصة واعرة بكيتينا فيها الله يعاونك,triste
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢😢😢😢😢😢😢😢🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,triste
lah yaRebiiiii😔😟😟😟😟😟 hadchi mktab akhouya mktab,triste
خويا دير تجربة سميتها Larry,triste
منين ماما جاها السرطان كنت هزيت واحد الهم تقيل بزاف . مسؤولية خوتي الصغار و الدراسة ديالي ف الجامعة  و اكيد ماما اللي مرضات و كان خصني نتهلا فيها و انا كنت هزيت هاد الدقة و صبرت و كنت كنبين لكلشي انا قوية حيت لا خوتي شافوني كنبكي و منهارة ولا ماما شافتني كيفاش غا تقدر تشافا . كنت كنقرا و كنحاول نخدم و نعاون راسي و ماما . بقيت هاكاك مدة عام عاد شدني كتئاب تا الحمد الله تقادات الامور و انا نجحت و ماما حالتها تحسنات وانا خدمت و خويت البلاد  و حسيت براسي الحرب سالات عاااد شدني كتئاب و رجع علي كلشي .من اللحظة اللي سمعت فيها ماما مرضات  و ديك الفترة كلها اللي كنت كنعاني فيها الداخل و ما كنبينش رجع علي كلشي دازت علي فترة قاصحة بزاف والحمد الله علا كل حال دازت . تهلاو فًراسكم اخوتي را عندكم غا راسكم,triste
عندي  نفس الشي و الله  😢😢 و المشكل ماعرفت منين نبدا طلقت على راسي ماعرفتش شنو ندير كانمشي للطبيب قتلوني غير بالأدويةaripiphi  zepam fluoxet alpraz ديما كانبداه و كانقطعو بحالك و مزالة هاكدا,triste
😢😢😢,triste
Thank youuu saber 🥺,triste
الاكتئاب مرض من أمراض العصر المنتشرة ، وهو انعزال المريض عن محيطه ، وفقدان الاتصال بمن حوله ، ويؤدي به إلى اليأس ، وقد ينتج عنه التفكير بالتخلص من الحياة ظناً انها الحل الأخير وسبيل للراحة ،وأهم الأسباب النفسية لهذا المرض الشعور باليأس ، وعدم القدرة على تحمل ضغوطات الحياة . إن الإسلام العظيم عالج هذا الأمر من بدايته ، فلا مكان للاكتئاب في حياة المسلم ، فحياته كلها لله مليئة بالطاعة ، والذكر ، والأمل برحمة الله ، فالمؤمن يعلم أن حاله كله خير ، إذا أصابه خير شكر الله ، وإذا أصابه شر صبر ، فالمؤمن يعالج الضغوطات النفسية بسلاحي الصبر والشكر، ولا يوجد في الدنيا داء عضال لا دواء له ، ولا شفاء ، فالنبي صلى الله عليه وسلم ( إِنَّ اللَّهَ لَمْ يُنْزِلْ دَاءً إِلَّا أَنْزَلَ لَهُ شِفَاءً، عَلِمَهُ مَنْ عَلِمَهُ وَجَهِلَهُ مَنْ جَهِلَهُ»، وَفِي لَفْظٍ: «إِنَّ اللَّهَ لَمْ يَضَعْ دَاءً إِلَّا وَضَعَ لَهُ شِفَاءً، أَوْ دَوَاءً، إِلَّا دَاءً وَاحِدًا، قَالُوا: يَا رَسُولَ اللَّهِ مَا هُوَ؟ قَالَ: الْهَرَمُ) قَالَ التِّرْمِذِيُّ: هَذَا حَدِيثٌ صَحِيحٌ، وهذا ينطبق على الأدواء العضوية ، والنفسية ، ويشمل الأدواء الفردية ، والاجتماعية . أهم علاج الاكتئاب في الصيدلية الإسلامية : أولاً :الاعتصام بالله ، واللجوء إليه ، والأمل في فضله ، والرجاء في رحمته ، فهو أرحم بنا من أنفسنا ، و من أمهاتنا ، ومن آبائنا والله يقول ( إِنَّهُ لَا يَيْأَسُ مِن رَّوْحِ اللَّهِ إِلَّا الْقَوْمُ الْكَافِرُونَ ) سورة يوسف 87 والله سبحانه وتعالى لا يستعصي عليه مرض ، ولا مشكلة مادية ، ولا معنوية ، فكم من مريض شفاه ، وكم من فقير أغناه ،وكم من سائل أعطاه ، وكم من ضال هداه ، وكم من ضعيف قواه. الثقة والاعتصام بالله أول وأهم طرق الحل ، وهو النور الذي يضيء الطريق ، واعلم ان أشد ساعات الليل ظلمة التي تسبق الفجر ، وأن سنن الله الله أن يجعل من بعد العسر يسرا. ضاقت فلما استحكمت حلقاتها فرجت وظننت أنها لا تفرج.,triste
The same feelings I live the same situation right now 💔,triste
ومن أعرض عن دكري فإن له معيشة ضنكة...ما خلينا الله حتى شي حاجة ناقصة فالدين، قلب على معيشة ضنكة و شوف غادي تبان ليك هي هادي الحالة لي وصلتي ليها. دزت من تجربة شخصية قريبة بهادشي والحاجة الوحيدة اللي كتحميني هي الصلاة و قرأة القران. الله يشوف من جيهتك أخاي صابر.,triste
سلام عليكم انا المغرب انا هدى في الاكتياب الله 😢حمدالله 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,triste
لو قلتلك انا عشت نفس تجربه ومقدره شعور ديالك وعطتني نظره ايجابيه رغم كاين شي أمور ماتقدرش تعالجها رغم محولات يمكن حيث مكتوبه عليا صراع مع نفس وترى نفس اكثر عدو لهذا عادي  ونصحكم فن اللامبالاة,triste
اخي عندما تحس انك لست بخير اتجه لله سبحانه وكلامه,triste
💔 i need help,triste
معرفتش علاش بكيت أنا 😭🥺السبب أش والله معرفنا السبب,triste
The same thing for me💔it's really hard😓,triste
"المقارنة، الناس السلبية، المشاكل، الاحداث السلبية اللي تيوقعو معاك او الكلام السلبي، و الإبتعاد على الدين، معاتبة الوالدين ليك، اهمال النفس، التفكير الزائد، عدم التخلص ممن التراكمات، عدم مسامحة الذات و احتقارها،النوم لفترة طويلة، اختيار البكاء
هاد الحوايج بالضبط تيخليوك تدخل فالاكتئاب ويولي دوامة لا تنتهي ايلا مجلستيش عالجتي كل حاجة بوحدها على حدة. و تكون االبداية باتباع الدين الصحيح كاع الحوايج غيتقادو معاهوم و غيتعاونو",triste
Ana rah kan fiya rah ana ba9i makan3achs o dayman kan5af man Kolchi o 3ad dawni l tbib ma t5aylich ❤😢,triste
"وقعتي بحالك ولكين مكانش حديا مي وكان قلبي كوجعني بزاف وصافي تا انا داتني عمتي فين ما بغيت والو وكان عندي جهوي وصافي مبقيتش نقدر نوكل موالو صافي حيت جدي مات اول مرا يموت حد عزيز عليا 
صافي كنت كنتسنا لموت صافي وحتى عمامي ملو من حالتي تا وليت مولفها دابا ولا كتخف عليا ولكين مزال فاش كنفكر فلموقف كنبدا نبكي نبكي",triste
ناري شحال بكيت 😢😢,triste
ا😢😮,triste
انا وقع ليا نفس الاكتئاب ديالك وليت كنخاف من الموت وفليل كنحس بان ملك الموت غادي يقبض روحي وهو غادي يبان ليا ولات كطلع معايا الخلعة وكنتخنق صافي نمشي نجري نشغل ضو ومكنعرف مندير واش نقولها لماما ولا بلاش وهادشي بسباب الموت ديال جدي كان عزيز عليا بزاااف الله يرحموا ومن بعد شهرين ماتت جدة تماما الله يرحمها يارب ولا الناس كيموتوا بزااف حدانا كنقول انا نوبتي المرو جاية وكنقول غادي نموت وانا مكنصليش وكيما قلتي بديت نصلي دخلاتني ماما لدار القرآن وخرجت من هاد الاكتئاب صراحة صعيييبب والله الله بنجيكم منو 😢,triste
بحالا كتعاودي داكشي لي كنعيش😥,triste
سبحان الله دابا جيت من مور عام ملي كان فيا الإكتئاب والوسواس وكنت ملي كنتفرج فهاد الفيديو كنرتاح شوية ودابا فعلا للاسف جدي يلاه مات هادي شهر ونص دابا الله يرحموا ❤,triste
بكيتيني والله😢❤,triste
ولله هيل بكيتيني 😢😢😢😢😢❤❤,triste
B9iti fiya bzf wlh😢😢,triste
حتى أنا جاني الإكتئاب وأنا باق صغير حتى أنا كنخف من لموت بزاف ومنين كنجي نعس كمتخيل غدًا معنديش يفش غنموت وفيجي شيزلزلل انا فعمزي١١لعام دبا تحسنت شويا ولكن منين كنجي نعس حيجيني تخيل دبا أنا عرف بلي هدشي بزاف ديال ناس فيكوا بغاو ليكا بغاو لفلوس لا الهيبادالله سلمي على ريحان وسلمى أنا راني كنتبعكم بزاف❤😢…….,triste
😢😢😢😢😢ليعفو,triste
Tratli nfss l7aja knt kan9ra f 3ac ou knt kanbghi wahed dri ou bsbabou wlaw kayxdouni des crises de panique ou ldaba mzl kayxdouni ou lmoxkila s7abati wa9fin m3aya mais ta w7da ma7assa bdakxi li kan3ix 7it bsh dakxi s3iib bzzf. Katwli kat7ssi b9lbk kayt9t3 ou kaybda kaydrb mjhd ou katbdaay tkhn9ii ou kaywliiw ydk bardiin ou bzzf dl7wayj mhm aswaa2 cho3or f L7ayaat💔💔,triste
نفس الحالة  الي دزت منها عام وهاد عام تاني ودابا كنتعالج بالأدوية 😢😢😢,triste
Tana kane kijini nefs ihsase 😢,triste
😢وراه تادبا مكاديريش الزيف,triste
